SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
토니 앤 가이(TONI & GUY) 서초점,서울특별시 서초구 서초동 1682 301호,02  568 7262,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",37.4985563082368,127.018886847051
미색찬란 헤어메이크업,서울특별시 강남구 역삼동 609 ,02  569 4036,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",37.5057399160081,127.032946546152
"살롱 드 라움, 부티끄","서울특별시 서초구 내곡동 342-1번지 304호, 305호 ",02  573 2999,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",,
스카터 라운지,서울특별시 강남구 역삼동 652-6 ,02  575 4762,"일반미용업, 피부미용업, 화장ㆍ분장 미용업",37.5078955823682,127.037157697832
다니엘186(daniel186),서울특별시 강남구 논현동 181-7 ,02  544 7563,"일반미용업, 화장ㆍ분장 미용업",37.5077477148501,127.026903634148
샤샤메이크업,서울특별시 노원구 공릉동 513-48 주인맨션 G-17호,02  546 2587,"일반미용업, 화장ㆍ분장 미용업",37.624441836424,127.07548746584
메이크업하우스,서울특별시 광진구 군자동 200-2 ,02  546 6662,"일반미용업, 화장ㆍ분장 미용업",37.5555390609507,127.078029725156
유림,서울특별시 강남구 청담동 46-11 근정 빌딩 ,02  547 1367,"일반미용업, 화장ㆍ분장 미용업",37.5194408603474,127.049030052105
앳나운,서울특별시 강남구 청담동 1-1 퍼스트빌딩 ,02  547 8718,"일반미용업, 화장ㆍ분장 미용업",37.5228637283635,127.039527943261
아티코 뷰티,서울특별시 강남구 역삼동 660-2번지 ,02  557 8666,"일반미용업, 화장ㆍ분장 미용업",37.5051612111638,127.035996981129
바이소나,서울특별시 강남구 역삼동 655-23 ,02  569 1523,"일반미용업, 화장ㆍ분장 미용업",37.5073607787015,127.038738241486
헤어aA,서울특별시 서초구 신원동 609 프라임시티 106호,02  575 6555,"일반미용업, 화장ㆍ분장 미용업",37.4479365324169,127.055781875709
차홍아르더 청담점,서울특별시 강남구 청담동 96-24번지 ,02  544 8520,종합미용업,37.5251384658765,127.045593119445
제이네일,서울특별시 강남구 삼성동 25-23번지 ,02  548 1122,종합미용업,37.5144663148205,127.049927164604
보보리스(BOBORIS),서울특별시 강남구 신사동 631-23 ,02  549 7889,종합미용업,37.5232392982105,127.034541152852
김수현헤어,서울특별시 강남구 삼성동 92-7번지 ,02  549 7891,종합미용업,37.5170518962877,127.062823695947
타스헤어,서울특별시 강남구 대치동 935번지 ,02  552 8088,종합미용업,37.4981316202397,127.054248416157
재키헤어,서울특별시 강남구 대치동 316 은마아파트 ,02  555 2462,종합미용업,37.4974180026259,127.065327020175
헤어힐링랩,서울특별시 강남구 역삼동 761-19번지 ,02  556 0382,종합미용업,37.495873260455,127.046391332002
헤어카리스,서울특별시 강남구 대치동 897-2번지 지상1층 ,02  556 3859,종합미용업,37.5026934119137,127.050174689666
디데이 헤어메이크업,서울특별시 강남구 역삼동 809-11 ,02  556 3999,종합미용업,37.5031203805459,127.025879714069
이후헤어작품실,서울특별시 강남구 역삼동 788-22번지 .지상1층 ,02  558 1665,종합미용업,37.4934409300556,127.041470746518
이철헤어커커 대치라운지,서울특별시 강남구 대치동 922-1 SH타워 ,02  558 2326,종합미용업,37.4987632019667,127.052099075046
컷트세상,서울특별시 강남구 역삼동 799-21번지 .지상1층 ,02  561 6011,종합미용업,37.4919532775311,127.038542687252
살롱6(역삼3호점),서울특별시 강남구 역삼동 645-19 ,02  563 6001,종합미용업,37.5009288838705,127.0336664052
수네일바이현,서울특별시 강남구 삼성동 122-11 ,02  564 6270,종합미용업,37.5110441201523,127.052221507858
블루클럽 (선릉점),서울특별시 강남구 삼성동 143-17번지 ,02  565 2866,종합미용업,37.5067695765566,127.052621391678
류경 미용연구소,서울특별시 강남구 역삼동 702-23번지 ,02  567 0721,종합미용업,37.5041703457441,127.046414447665
메디스파,서울특별시 강남구 역삼동 824-25 지하1층 ,02  567 2747,종합미용업,37.4975829773073,127.031110404052
SOON헤어,서울특별시 서초구 양재동 18-5 성영빌라트 106호 ,02  5718698,종합미용업,37.4823847083022,127.040030204014
고운미용실,서울특별시 서초구 양재동 290-6 1층 ,02  573 8794,종합미용업,37.4729003813705,127.047193115687
예가미용실,서울특별시 서초구 양재동 9-3 1층 ,02  5734844,종합미용업,37.4825480969104,127.038568382636
대원헤어?,서울특별시 서초구 양재동 6-37번지 208호 ,02  5736705,종합미용업,37.4816509816493,127.041181235517
킴스미용실,서울특별시 서초구 양재동 366 황해빌라 103호,02  574 5606,종합미용업,37.4693886259622,127.045527020907
성희 헤어카페,서울특별시 광진구 자양동 636-17 ,02  575 8019,종합미용업,37.5312858818653,127.080697334312
멋을아는 사람들과,서울특별시 서초구 양재동 108-5 ,02  5757042,종합미용업,37.4771748372729,127.037452592516
살롱J,서울특별시 서초구 양재동 154-2 2층 4호 ,02  576 6013,종합미용업,37.4766180245617,127.029457335464
양재남성헤어커트,서울특별시 서초구 양재동 23 양재역환승주차장 1층  109-1호 ,02  57774339,종합미용업,37.4833930904418,127.034393681235
코코미용실,서울특별시 서초구 양재동 3-18 101호 ,02  578 5225,종합미용업,37.4822762898275,127.042180037134
파티마스킨앤바디,서울특별시 강남구 도곡동 527-3번지 도곡렉슬상가 1층107호 ,02  578 7736,종합미용업,37.4953408441024,127.052652046122
박승철헤어스튜디오 양재점,서울특별시 강남구 도곡동 953-1번지 ,02  579 3920,종합미용업,37.4853093524453,127.034403378938
컷트잘하는헤어밴(van),서울특별시 강남구 도곡동 902-55번지 ,02  579 5331,종합미용업,37.4864367385024,127.038631891278
