SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
삿에스떼,서울특별시 강남구 삼성동 155-13 송영빌딩 ,02  566 1096,피부미용업,37.5095569208496,127.056341869329
뷰티엘,서울특별시 강남구 역삼동 770-17 ,02  567 1893,피부미용업,37.4962517423289,127.041381494345
테라스피부샵,서울특별시 강남구 대치동 316번지 ,02  567 6155,피부미용업,37.4974180026259,127.065327020175
ESTTIO(에스띠오),서울특별시 강남구 신사동 547-12번지 ,02  569 6466,피부미용업,37.5227266997253,127.023186103867
리퍼블릭 왁싱,서울특별시 강남구 역삼동 619-14번지 ,02  569 7672,피부미용업,37.5017927667439,127.027397520261
하임앤 힐링 에스테틱,서울특별시 강남구 개포동 1249-3번지 ,02  571 5740,피부미용업,37.4792715503782,127.046868009229
안나스킨케어,서울특별시 강남구 도곡동 467-7번지 ,02  571 5851,피부미용업,37.4886726430993,127.052102242886
쏘울 에스테틱,서울특별시 서초구 양재동 377-4 2층 ,02  572 0353,피부미용업,37.4718742483576,127.045980491248
힐링스킨앤바디,서울특별시 강남구 개포동 1227-11번지 ,02  575 9952,피부미용업,37.4760484590686,127.047095268916
영동피부앤바디,서울특별시 강남구 도곡동 876-15 ,02  576 5677,피부미용업,37.4892103555831,127.040385278036
스파 헤븐,서울특별시 강남구 도곡동 467-19 현대비전21 ,02  578 6466,피부미용업,37.4882232479436,127.054439125962
슬림엠,"서울특별시 서초구 반포동 105-4 3,4층 ",02  581 1277,피부미용업,37.498502291444,126.997590221388
다미인,서울특별시 서초구 방배동 1460-1번지 2층(전부 임대) ,02  583 2840,피부미용업,37.4872387560628,126.983515808321
결이고은에스테틱 청담점,서울특별시 강남구 청담동 87-4번지 S&S TOWER 지상9층 ,02  583 5085,피부미용업,37.5237044000071,127.04048474879
에스테틱끄 코코,서울특별시 서초구 반포동 20-45 반포자이플라자 ,02  583 8808,피부미용업,37.5071275939835,127.00984142892
고은피부관리,서울특별시 동작구 사당동 1022-44번지 1층 ,02  585 1466,피부미용업,37.4809142161744,126.977982869213
썬 중국정통힐링원,서울특별시 서초구 서초동 1659-6번지 초원빌딩 3층 ,02  588 2253,피부미용업,37.4931467126844,127.015449909912
마나핸즈,서울특별시 서초구 방배동 792-1 ,02  595 1140,피부미용업,37.4919357764071,126.986934690857
SECOND#(세컨드샵),서울특별시 서초구 서초동 1510-9번지 2층 ,02  598 9892,피부미용업,37.4873025655019,127.00870902741
스파루체,서울특별시 동작구 사당동 147-53 ,02  599 1536,피부미용업,37.484760958426,126.981520500294
곽유정에스테틱,서울특별시 마포구 동교동 169-17번지 302호,02  60131253,피부미용업,37.5566741497865,126.925333563263
에스띠유,서울특별시 송파구 방이동 62-12번지 동도빌딩 ,02  60133639,피부미용업,37.5136671764042,127.108838388889
제이제이 브로우바,서울특별시 성북구 동선동2가 135-26번지 2층 ,02  60144966,피부미용업,37.5907802933214,127.019189571458
아나덴 슈가링 왁싱 홍대점,서울특별시 마포구 서교동 355-27 6층 601호,02  60152228,피부미용업,37.5537819714184,126.921075341337
미윈에스테틱,서울특별시 강북구 수유동 177-17 2층 ,02  60159015,피부미용업,37.6411114390544,127.025606859253
코델리아,서울특별시 마포구 상암동 1587번지 ,02  60160089,피부미용업,37.5823228908933,126.886661453906
알엑스퍼트 Rxpert,서울특별시 강남구 신사동 636-7 에이플러스빌딩 ,02  60220897,피부미용업,37.527232088331,127.033923716274
뷰티클럽,서울특별시 마포구 연남동 260-54번지 ,02  60323535,피부미용업,37.5607065954882,126.924677615123
투네일,서울특별시 강남구 삼성동 144-14번지 ,02  553 2259,"피부미용업, 네일미용업",37.5080139474441,127.055395518763
올리브 불 한증막,서울특별시 강남구 역삼동 663-15 ,02  555 4562,"피부미용업, 네일미용업",37.5061288811203,127.039683563787
비긴바이오네일(Begin Bio Nail),서울특별시 서초구 서초동 1336 래미안 리더스원 2층 222호 ,02  585 8222,"피부미용업, 네일미용업",,
바니샵,서울특별시 서대문구 대현동 54-23 ,02  60149875,"피부미용업, 네일미용업",37.557456458443,126.946141844387
토리왁싱,서울특별시 종로구 종로1가 24번지 지하1층 117-2호,02  60323111,"피부미용업, 네일미용업",37.5704589394035,126.979850194195
핑거(FINGER) 6,서울특별시 강북구 번동 444-19 ,02  60801103,"피부미용업, 네일미용업",37.636208375027,127.027963313969
리엔1,서울특별시 강남구 역삼동 810-10 ,02  552 9997,"피부미용업, 화장ㆍ분장 미용업",37.5030693303145,127.026526256262
리엔,서울특별시 강남구 역삼동 810-10 ,02  552 9997,"피부미용업, 화장ㆍ분장 미용업",37.5030693303145,127.026526256262
세랑 메이크업(SERANG Makeup),서울특별시 용산구 한강로3가 98 ,02  545 7999,화장ㆍ분장 미용업,37.5259402145642,126.967620397573
규희,서울특별시 서초구 잠원동 9-4 유명빌딩 ,02  545 8474,화장ㆍ분장 미용업,37.5175264710354,127.01741772478
우현증MERCI,서울특별시 강남구 신사동 628-2 ,02  546 7740,화장ㆍ분장 미용업,37.5221907909645,127.031686347376
바이수이(BYSOOE),서울특별시 성동구 하왕십리동 1070번지 센트라스 ,02  566 6352,화장ㆍ분장 미용업,37.5663313038338,127.028440866987
