SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP
haute(오뜨네일),서울특별시 강남구 신사동 660-6번지 ,02  544 8088,네일미용업
코코네일,서울특별시 서초구 잠원동 8-22 지하1층 ,02  545 4002,네일미용업
포쉬네일 압구정역점,서울특별시 강남구 신사동 603 ANdAZ ,02  547 4142,네일미용업
루미가넷,서울특별시 강남구 대치동 910-2 루가빌딩 ,02  547 7107,네일미용업
크라스니,서울특별시 강남구 역삼동 708-23번지 지상1층 ,02  557 2030,네일미용업
호박방,서울특별시 강남구 대치동 905-16 현서빌딩 ,02  562 5855,네일미용업
려네일,서울특별시 서초구 방배동 790-24 1층 ,02  585 4141,네일미용업
안O네일,서울특별시 종로구 창신동 5-2 ,02  60527778,네일미용업
눈시울,서울특별시 강남구 청담동 15-5 ,02  545 3436,"네일미용업, 화장ㆍ분장 미용업"
트윙클,서울특별시 동작구 사당동 1044-22 ,02  587 2313,"네일미용업, 화장ㆍ분장 미용업"
나나,서울특별시 성북구 동선동1가 84-1 ,02  60138698,"네일미용업, 화장ㆍ분장 미용업"
미 아뜨리에,서울특별시 중구 신당동 844 남산타운 ,02  5460018,미용업
성수미용실,"서울특별시 강남구 논현동 227-4번지 ,1층1호 ",02  549 9602,미용업
거꾸로헤어,서울특별시 강남구 논현동 181-3 미라클하우스 ,02  544 8283,일반미용업
슈어뷰티살롱,서울특별시 강남구 논현동 110-24 ,02  545 0700,일반미용업
에이영살롱,서울특별시 강남구 신사동 551-7 ,02  545 2951,일반미용업
헤링크,서울특별시 강남구 청담동 68-9 더하우스 ,02  545 5105,일반미용업
이가자 아뜰리에 청담,서울특별시 강남구 청담동 132-19 지상3층 ,02  545 5573,일반미용업
모클락 강남본점,서울특별시 강남구 논현동 164 영동빌딩 ,02  545 5749,일반미용업
동방의미용사,서울특별시 강남구 논현동 66 선주빌딩 ,02  545 6668,일반미용업
가희,서울특별시 강남구 논현동 124-18번지 ,02  545 9527,일반미용업
스타일 비,서울특별시 강남구 삼성동 10-20번지 ,02  546 1182,일반미용업
헤어스크린,서울특별시 송파구 잠실동 224-7번지 1층 ,02  546 5222,일반미용업
에이그로우(A.Grow),서울특별시 강남구 논현동 183-7번지 남광빌딩 1층 ,02  547 8550,일반미용업
티나스타일,서울특별시 강남구 논현동 123-7 ,02  547 9448,일반미용업
